NAME,NAME.id,NAME.name,ASSOCIATION,CLUMP,EXPERIMENT,EXPERIMENT.count,EXPERIMENT.date,EXPERIMENT.description,EXPERIMENT.field,EXPERIMENT.fullname,EXPERIMENT.id,EXPERIMENT.index,EXPERIMENT.name,EXPERIMENT.series,IMAGE,IMAGE.label,IMAGE.meta,IMAGE.name,INTENSITY,INTENSITY.ch1,INTENSITY.ch2,INTENSITY.ch3,LOCATION,LOCATION.center,LOCATION.dist,LOCATION.half,LOCATION.pole,LOCATION.side,LOCATION.x,LOCATION.y,MAXIMA,MAXIMA.Maxima1,MAXIMA.count,MEDIAL,POSITION,POSITION.channel,POSITION.frame,POSITION.position,POSITION.slice,PROFILE_MEDIAL,SHAPE,SHAPE.angularity,SHAPE.area,SHAPE.aspectRatio,SHAPE.circularity,SHAPE.curvature,SHAPE.feret,SHAPE.length,SHAPE.morphology,SHAPE.orientation,SHAPE.perimeter,SHAPE.pole,SHAPE.roundness,SHAPE.sinuosity,SHAPE.solidity,SHAPE.width,ZSCORE,
b1,fcd1aa01-d08f-4831-9504-72af78844077,b1,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,12008.021,Stats[mean=14197.771 min=9515.0 max=19888.0 stdv=3105.112],Stats[mean=18853.219 min=8898.0 max=27483.0 stdv=4243.857],Stats[mean=4635.9297 min=2458.0 max=6031.0 stdv=728.49835],(x=38.80 y=1.19),false,38.822918,2,2,2,38.804527,1.1948224,0,0,0,1,1,1,1,1,1,ip[width=30  height=1  bits=16  min=7560.0  max=27342.0],1,0.060550295,1.3379229,5.689984,0.38400146,0.11121649,3.1179805,3.122824,1,40.3684,6.616892,2.0,0.17522433,1.004721,0.97557443,0.4510755,3.4336212,
b2,64d8162e-e9ea-4850-91fb-043bfd5caf3f,b2,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,12932.403,Stats[mean=13454.421 min=10518.0 max=20259.0 stdv=2176.9985],Stats[mean=9703.965 min=7326.0 max=11510.0 stdv=998.7617],Stats[mean=8178.2104 min=4550.0 max=10558.0 stdv=1556.4503],(x=44.02 y=0.70),false,44.027336,2,2,2,44.021797,0.69846356,0,0,0,1,1,1,1,1,1,ip[width=15  height=1  bits=16  min=7560.0  max=27342.0],1,0.0,0.6705581,2.5603387,0.72081906,1.3200419E-5,1.4690006,1.4576278,1,19.025343,3.4190857,2.0,0.39564216,1.0,0.99605125,0.5163148,2.8415039,
b3,fea5b92e-852a-40c3-b7fd-1ea41c69f3f0,b3,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,12721.902,Stats[mean=15142.33 min=10027.0 max=21852.0 stdv=3474.3198],Stats[mean=11617.922 min=6859.0 max=30524.0 stdv=3804.9343],Stats[mean=7309.2 min=3403.0 max=10953.0 stdv=2144.8518],(x=44.74 y=0.89),false,44.747757,2,2,2,44.73895,0.8878939,0,0,0,1,1,1,1,1,1,ip[width=19  height=1  bits=16  min=7560.0  max=27342.0],1,0.0,1.3754293,1.9352872,0.7487379,4.198697E-6,1.9319282,1.9236588,1,30.65048,4.804621,2.0,0.4692091,1.0,0.9432722,0.8237637,2.9763412,
b4,a221eb7d-ae56-48d8-86bb-bf63a372c3f9,b4,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11500.254,Stats[mean=11937.072 min=9062.0 max=17243.0 stdv=2310.1047],Stats[mean=8345.31 min=6825.0 max=9827.0 stdv=717.039],Stats[mean=5861.5454 min=2871.0 max=7928.0 stdv=1115.7247],(x=3.01 y=0.87),false,3.128431,2,2,2,3.0050268,0.8699975,0,0,0,1,1,1,1,1,1,ip[width=14  height=1  bits=16  min=7560.0  max=27342.0],1,0.0,0.6339935,2.6613078,0.73091894,5.2555185E-7,1.4108675,1.4054794,1,145.78427,3.3015108,2.0,0.4055296,1.0,0.9986275,0.50100297,3.7588742,
b5,9e917210-8499-4918-9171-741008d64fb0,b5,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11539.575,Stats[mean=11153.036 min=9184.0 max=15266.0 stdv=1471.9005],Stats[mean=9310.5 min=7451.0 max=11066.0 stdv=817.687],Stats[mean=6719.452 min=4207.0 max=9343.0 stdv=1357.0682],(x=23.14 y=2.59),false,23.2849,2,2,2,23.140907,2.5855312,0,0,0,1,1,1,1,1,1,ip[width=21  height=1  bits=16  min=7560.0  max=27342.0],1,0.1372933,0.995418,3.4942923,0.57974005,0.28160813,2.0824409,2.102353,1,29.32732,4.6450567,2.0,0.2922606,1.014611,0.99087983,0.51372516,3.7336867,
b6,6bba34f3-46b4-469d-8fbb-ce938fcea08f,b6,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11414.732,Stats[mean=10858.857 min=9272.0 max=13502.0 stdv=1080.6432],Stats[mean=9357.35 min=7536.0 max=11308.0 stdv=771.7383],Stats[mean=5806.0 min=3720.0 max=7499.0 stdv=909.3155],(x=36.35 y=2.97),false,36.470337,2,2,2,36.34932,2.9685798,0,0,0,1,1,1,1,1,1,ip[width=21  height=1  bits=16  min=7560.0  max=27342.0],1,0.21992959,0.7658355,3.7405946,0.47892323,0.416871,2.032002,2.0935612,1,174.38893,4.482701,2.0,0.23615512,1.0319507,0.89900416,0.38962746,3.8136556,
b7,1ca3717c-2143-457f-a7e1-416e8df5ce2b,b7,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11729.947,Stats[mean=11305.527 min=9247.0 max=17304.0 stdv=1713.2021],Stats[mean=8787.405 min=7700.0 max=9882.0 stdv=535.144],Stats[mean=7268.2837 min=4459.0 max=9421.0 stdv=1261.1115],(x=23.73 y=4.87),false,24.222643,2,2,2,23.727957,4.8703704,0,0,0,1,1,1,1,1,1,ip[width=20  height=1  bits=16  min=7560.0  max=27342.0],1,0.123178095,0.86768115,3.700091,0.55709094,0.22985917,2.0029755,2.0014184,1,127.12731,4.42407,2.0,0.27537152,1.008557,0.9972276,0.46799314,3.6117435,
b8,c9c77e1b-2795-4fa2-843a-9ff5fcaa5934,b8,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11748.817,Stats[mean=11056.661 min=9191.0 max=14951.0 stdv=1351.9662],Stats[mean=9278.0 min=7193.0 max=12418.0 stdv=976.7646],Stats[mean=6136.0645 min=4708.0 max=7570.0 stdv=693.67224],(x=37.87 y=4.87),false,38.18229,2,2,2,37.870457,4.869864,0,0,0,1,1,1,1,1,1,ip[width=18  height=1  bits=16  min=7560.0  max=27342.0],1,0.010570174,0.72079116,3.5038114,0.5808195,0.022235202,1.7994294,1.7993937,1,119.66644,3.9490178,2.0,0.2834327,1.0000718,0.99849784,0.43208322,3.599656,
b9,a4019c13-1890-41cf-b01c-24c75ad86678,b9,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,12226.127,Stats[mean=11525.241 min=9408.0 max=14422.0 stdv=1281.0927],Stats[mean=8405.148 min=6986.0 max=9988.0 stdv=667.5911],Stats[mean=6428.6665 min=3819.0 max=8577.0 stdv=1378.0032],(x=53.33 y=5.21),false,53.580647,2,2,2,53.32631,5.2144623,0,0,0,1,1,1,1,1,1,ip[width=14  height=1  bits=16  min=7560.0  max=27342.0],1,0.19469802,0.64663726,2.2981822,0.750146,0.3919938,1.3988006,1.404215,1,164.04614,3.2912617,2.0,0.42078403,1.0112618,0.99491453,0.5103084,3.293913,
b10,d097ca79-477a-4b9c-84fe-765b891a2981,b10,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11159.439,Stats[mean=10824.091 min=8628.0 max=15017.0 stdv=1219.7357],Stats[mean=8837.916 min=6449.0 max=10396.0 stdv=638.8736],Stats[mean=7409.2144 min=3344.0 max=9611.0 stdv=1234.0865],(x=28.94 y=7.15),false,29.814144,2,2,2,28.944584,7.148021,0,0,0,1,1,1,1,1,1,ip[width=30  height=1  bits=16  min=7560.0  max=27342.0],1,0.1080226,1.865758,3.7465577,0.5157253,0.1999288,3.049613,3.0924277,1,159.00671,6.742537,2.0,0.25543237,1.0160592,0.9462268,0.64612675,3.9771848,
