NAME,NAME.id,NAME.name,ASSOCIATION,CLUMP,EXPERIMENT,EXPERIMENT.count,EXPERIMENT.date,EXPERIMENT.description,EXPERIMENT.field,EXPERIMENT.fullname,EXPERIMENT.id,EXPERIMENT.index,EXPERIMENT.name,EXPERIMENT.series,IMAGE,IMAGE.label,IMAGE.meta,IMAGE.name,INTENSITY,INTENSITY.ch1,INTENSITY.ch2,INTENSITY.ch3,LOCATION,LOCATION.center,LOCATION.dist,LOCATION.half,LOCATION.pole,LOCATION.side,LOCATION.x,LOCATION.y,MAXIMA,MAXIMA.Maxima1,MAXIMA.count,MEDIAL,POSITION,POSITION.channel,POSITION.frame,POSITION.position,POSITION.slice,PROFILE_MEDIAL,SHAPE,SHAPE.angularity,SHAPE.area,SHAPE.aspectRatio,SHAPE.circularity,SHAPE.curvature,SHAPE.feret,SHAPE.length,SHAPE.morphology,SHAPE.orientation,SHAPE.perimeter,SHAPE.pole,SHAPE.roundness,SHAPE.sinuosity,SHAPE.solidity,SHAPE.width,ZSCORE,
b1,183ae74b-bf45-4602-8fa2-ebee07a19b64,b1,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11383.444,Stats[mean=15519.647 min=9681.0 max=19879.0 stdv=3160.855],Stats[mean=6482.2256 min=5320.0 max=7763.0 stdv=545.0697],Stats[mean=4315.296 min=2494.0 max=7006.0 stdv=1162.9395],(x=9.70 y=0.86),false,9.73463,2,2,2,9.696743,0.85801095,0,0,0,1,1,1,1,1,1,ip[width=20  height=1  bits=16  min=7865.0  max=35621.0],1,0.0672461,0.8551086,3.901637,0.53089905,0.14089434,2.066325,2.0685868,1,146.03821,4.498934,2.0,0.2549965,1.0076709,0.9851329,0.44848183,4.0414634,
b2,9f9a5f0c-9923-4e00-9a95-879b2b140518,b2,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,10963.0,Stats[mean=15538.111 min=12436.0 max=17945.0 stdv=1851.848],Stats[mean=6528.4443 min=5892.0 max=7171.0 stdv=462.05496],Stats[mean=3400.2222 min=2637.0 max=4387.0 stdv=694.1215],(x=26.85 y=0.16),false,26.847984,2,2,2,26.847483,0.16402245,0,0,0,1,1,1,1,1,1,ip[width=5  height=1  bits=16  min=7865.0  max=35621.0],1,0.0,0.10333739,1.1782315,0.960037,3.115328E-7,0.40032452,0.39779496,1,108.4348,1.1630268,2.0,0.82100016,1.0,1.0,0.0,4.3286676,
b3,bd8b6491-a41a-4ee6-9891-e003ddb39703,b3,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11543.014,Stats[mean=12476.481 min=9438.0 max=17668.0 stdv=2226.531],Stats[mean=6847.963 min=5266.0 max=8056.0 stdv=575.9793],Stats[mean=4623.4443 min=2206.0 max=6893.0 stdv=1126.59],(x=40.04 y=0.80),false,40.05153,2,2,2,40.04347,0.80349857,0,0,0,1,1,1,1,1,1,ip[width=15  height=1  bits=16  min=7865.0  max=35621.0],1,0.07290637,0.6207526,2.5258205,0.7141973,0.13440394,1.4370711,1.437056,1,176.76175,3.3048754,2.0,0.38271204,1.0013957,0.9964709,0.48823205,3.932462,
b4,e6fd122c-d2a3-4cff-a2f0-13a5274f0efc,b4,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11229.371,Stats[mean=11937.447 min=8602.0 max=20963.0 stdv=3108.3936],Stats[mean=7082.9917 min=5527.0 max=8664.0 stdv=562.74066],Stats[mean=6513.6665 min=3341.0 max=8933.0 stdv=1422.2935],(x=4.19 y=1.03),false,4.314879,2,2,2,4.190065,1.0303082,0,0,0,1,1,1,1,1,1,ip[width=26  height=1  bits=16  min=7865.0  max=35621.0],1,0.19068988,1.4342506,3.2404327,0.53652143,0.39875394,2.5702734,2.644783,1,134.74182,5.7959404,2.0,0.27642447,1.044627,0.89249116,0.58563775,4.146711,
b5,3d066c56-7c17-4ee8-99f6-becdc95a5ccd,b5,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11870.072,Stats[mean=11125.642 min=8937.0 max=14892.0 stdv=1323.4193],Stats[mean=7314.4346 min=6188.0 max=8408.0 stdv=476.5547],Stats[mean=5564.446 min=3908.0 max=6944.0 stdv=654.1018],(x=18.02 y=1.02),false,18.050997,2,2,2,18.021921,1.0241015,0,0,0,1,1,1,1,1,1,ip[width=26  height=1  bits=16  min=7865.0  max=35621.0],1,0.08605228,1.1062647,4.8552203,0.44094658,0.17138435,2.6163733,2.6360085,1,115.12317,5.614893,2.0,0.20576419,1.007761,0.97790736,0.44742337,3.7090487,
b6,b3ba14c2-5bde-4d85-a858-231f41b1aa51,b6,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11382.386,Stats[mean=10730.761 min=8843.0 max=14865.0 stdv=1315.8472],Stats[mean=7328.913 min=5985.0 max=8387.0 stdv=548.0455],Stats[mean=5126.2607 min=3706.0 max=6287.0 stdv=611.3525],(x=19.97 y=2.52),false,20.12438,2,2,2,19.965628,2.52277,0,0,0,1,1,1,1,1,1,ip[width=15  height=1  bits=16  min=7865.0  max=35621.0],1,0.27926695,0.6073539,2.6245441,0.6819442,0.46760368,1.4613041,1.4815756,1,151.53513,3.345426,2.0,0.3621352,1.0175465,0.99547833,0.45194355,4.0421863,
b7,e16581a0-e6af-48cc-97fc-af4ed3b7d7f5,b7,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11819.125,Stats[mean=11444.792 min=9227.0 max=16959.0 stdv=1764.1539],Stats[mean=6883.287 min=5400.0 max=7992.0 stdv=505.7192],Stats[mean=6924.891 min=3406.0 max=9144.0 stdv=1334.1051],(x=2.60 y=2.61),false,3.6903832,2,2,2,2.6043963,2.6145835,0,0,0,1,1,1,1,1,1,ip[width=23  height=1  bits=16  min=7865.0  max=35621.0],1,0.17640106,1.1842223,3.4312944,0.54893523,0.343105,2.3351057,2.3793025,1,64.69223,5.2066817,2.0,0.2765224,1.0263644,0.9451699,0.53446466,3.743851,
b8,f36ccbe6-94c8-4afe-9cac-304f1693da50,b8,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11826.96,Stats[mean=11194.297 min=8998.0 max=14722.0 stdv=1370.9578],Stats[mean=7133.8784 min=6129.0 max=8163.0 stdv=434.98694],Stats[mean=5552.392 min=3154.0 max=7337.0 stdv=802.413],(x=50.02 y=5.69),false,50.345917,2,2,2,50.02345,5.689123,0,0,0,1,1,1,1,1,1,ip[width=21  height=1  bits=16  min=7865.0  max=35621.0],1,0.05242926,0.8719983,4.0214763,0.5195367,0.09814231,2.1167521,2.1176307,1,118.1876,4.592558,2.0,0.24779114,1.0021155,0.998632,0.43716007,3.738499,
b9,abf5032d-10ee-4622-93f7-f74e8cd97925,b9,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11446.381,Stats[mean=11126.914 min=8656.0 max=17273.0 stdv=1617.365],Stats[mean=7319.981 min=5965.0 max=8901.0 stdv=517.0866],Stats[mean=6334.4233 min=3605.0 max=8311.0 stdv=915.24304],(x=15.22 y=7.61),false,17.017109,2,2,2,15.220958,7.6094985,0,0,0,1,1,1,1,1,1,ip[width=72  height=1  bits=16  min=7865.0  max=35621.0],1,0.15262206,3.7159085,2.4487453,0.18617843,0.33022577,5.966065,7.727798,1,151.84883,15.836994,2.0,0.13292271,1.3361212,0.34391546,0.49123767,3.9984713,
b10,568e81fb-eef9-4aa7-881f-d0e12e3f9f85,b10,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,12141.839,Stats[mean=13041.788 min=9188.0 max=19941.0 stdv=2790.9475],Stats[mean=7088.7446 min=5734.0 max=8628.0 stdv=563.58997],Stats[mean=6065.1587 min=2686.0 max=8583.0 stdv=1385.6858],(x=24.59 y=7.45),false,25.69248,2,2,2,24.58977,7.446259,0,0,0,1,1,1,1,1,1,ip[width=36  height=1  bits=16  min=7865.0  max=35621.0],1,0.13859956,2.6594331,3.9247952,0.49160087,0.07718749,3.747805,3.7894895,1,38.20888,8.245048,2.0,0.24107113,1.0152291,0.92812014,0.74915344,3.5234058,
